GIDTR,.pred
1001020900,18.93415
1001021000,17.63515
1003010100,21.06958333333332
1003010500,18.44991666666667
1003010600,26.172949999999997
1003010703,15.88636666666666
1003010904,17.28253333333333
1003011000,17.667766666666665
1003011201,15.810583333333332
1003011601,16.2015
1003011602,11.18795
1005950100,20.47681666666667
1005950900,24.992850000000008
1007010003,25.662799999999994
1009050400,17.262216666666667
1015000400,21.811483333333328
1015001300,20.312150000000003
1015001700,17.903683333333344
1015002101,33.86274999999999
1015981901,21.890266666666673
1017954000,18.492683333333336
1021060300,21.84666666666667
1021060402,20.611783333333328
1023957000,33.25318333333333
1025957500,34.475716666666656
1025958002,40.44978333333333
1027959100,18.546866666666673
1031010300,16.295683333333333
1033020703,18.709650000000003
1033020802,18.01773333333334
1033021000,20.909116666666673
1037961200,28.04894999999999
1039961600,21.36773333333333
1039962100,23.86275000000001
1039962600,22.9399
1041963600,28.168649999999992
1043964700,19.105683333333335
1043965500,16.03215
1045020400,14.687916666666668
1045020801,21.142083333333332
1045021101,29.896299999999982
1045021102,33.546666666666674
1045021300,26.000333333333334
1047956500,28.306816666666673
1047957100,31.25478333333334
1051030300,13.814233333333336
1051031000,22.238400000000002
1053970300,18.946016666666672
1055000800,25.571849999999987
1055001100,13.462383333333337
1055010402,16.975299999999994
1055010602,17.50651666666667
1055010700,16.559800000000003
1055011001,16.573466666666672
1055011100,16.900716666666668
1057020300,17.988633333333336
1059973700,24.733833333333333
1061050100,25.031716666666654
1061050200,15.644749999999993
1065040100,29.964300000000016
1065040300,32.34988333333334
1067030200,18.87816666666667
1067030600,29.011
1069040400,17.34591666666667
1069041000,23.570549999999994
1069041500,21.393516666666663
1069041900,16.456133333333327
1071950200,17.672250000000005
1071950600,18.21171666666667
1073000100,25.433516666666673
1073000400,24.761250000000015
1073000700,28.834533333333344
1073002306,16.57991666666667
1073002900,26.84511666666667
1073003002,25.075433333333326
1073003200,29.477899999999995
1073003500,24.91773333333332
1073003600,22.35531666666667
1073004500,38.904666666666664
1073004702,18.74116666666667
1073005104,40.205349999999996
1073010302,26.299933333333325
1073010705,15.850099999999998
1073010802,12.184766666666665
1073010803,18.687966666666664
1073011001,20.015866666666664
1073011002,23.492850000000004
1073011109,14.250000000000002
1073011206,17.036616666666667
1073011210,28.28086666666666
1073011703,17.65188333333334
1073011705,16.746166666666667
1073011706,17.980249999999998
1073012001,17.591166666666663
1073012103,17.632999999999992
1073012104,17.380949999999995
1073012402,22.256466666666665
1073012602,21.031666666666673
1073012704,13.476433333333333
1073012910,19.48361666666666
1073012912,35.3633
1073013801,21.923783333333336
1073014001,16.2932
1073014301,19.04483333333333
1073014405,22.59963333333333
1073014406,12.513900000000001
1073014410,18.51425
1073014413,13.60025
1075030200,15.563833333333326
1077010100,30.235166666666665
1077010300,28.14525
1077010700,25.00975000000001
1077011000,22.62688333333334
1077011101,17.747483333333328
1077011300,25.035050000000005
1077011604,17.266066666666667
1077011700,16.53586666666667
1081040603,25.98578333333332
1081040604,29.725233333333332
1081040902,28.52713333333333
1081041400,24.684483333333333
1081042102,17.890066666666673
1083020101,17.790983333333337
1085781000,30.370066666666677
1085781100,37.74009999999998
1087231500,19.79925
1087232100,24.81476666666667
1089000202,28.30446666666667
1089000301,22.074166666666656
1089000501,20.024366666666673
1089001302,23.046333333333337
1089001700,14.366249999999997
1089001901,11.898533333333335
1089002200,26.55794999999999
1089002600,18.333383333333337
1089002921,18.665399999999998
1089010401,19.676100000000005
1089011012,14.067666666666671
1089011100,27.73063333333334
1091973200,22.00658333333334
1091973300,21.94070000000001
1091973400,19.894733333333335
1093964200,15.628716666666667
1093964500,20.157350000000005
1095030402,15.505316666666669
1095030600,17.99803333333333
1095030903,23.281
1095031000,20.37566666666667
1095031100,22.398583333333328
1097000500,24.128733333333333
1097000600,30.411350000000017
1097000702,21.461816666666667
1097001001,28.350900000000003
1097001002,22.288516666666673
1097001100,25.14015000000001
1097001501,28.838283333333337
1097002100,24.688916666666668
1097002501,18.203999999999997
1097002700,27.514700000000012
1097003000,21.014416666666676
1097003203,26.217566666666663
1097003404,24.02809999999999
1097003607,28.23998333333334
1097003704,17.312500000000004
1097003709,18.959149999999998
1097004100,26.19181666666667
1097005000,22.02346666666668
1097005200,24.260833333333338
1097006102,17.990066666666657
1097006406,15.5325
1097006407,16.62635
1097006501,19.477516666666673
1097006600,18.985016666666674
1097007102,23.307416666666658
1097007700,28.497116666666667
1101000100,35.28073333333333
1101000600,26.15798333333334
1101000700,27.315450000000002
1101000900,27.285433333333344
1101001600,27.29556666666667
1101001800,21.868966666666662
1101002300,23.20946666666667
1101002500,25.97651666666666
1101002600,15.495750000000001
1101002800,23.918966666666655
1101003200,23.434366666666666
1101003301,17.45005
1101005101,19.63223333333334
1101005402,24.57855000000001
1101005403,32.094116666666665
1101005410,28.920083333333338
1101005503,15.6215
1101005608,14.100266666666668
1101006000,19.712966666666667
1103000400,21.641366666666663
1103000800,21.008166666666668
1103005103,18.094499999999993
1103005200,17.507233333333332
1103005404,16.14438333333333
1103005702,17.827216666666665
1105687000,34.64340000000001
1111000400,19.056433333333327
1111000500,19.71685
1113030200,33.178700000000006
1113030901,20.274399999999993
1113030902,20.613799999999998
1115040103,16.550583333333332
1115040106,18.04305
1115040203,30.439233333333338
1115040402,16.767466666666675
1115040501,15.789999999999994
1117030215,16.19535
